Date,Client Name,Legal Entity,Received Amount,Delivered Amount,Net Amount
2010-01-01,HSBC,CitiBank New York,13998,92149,-78151
2010-02-01,HSBC,CitiBank New York,14149,96243,-82094
2010-03-01,HSBC,CitiBank New York,19256,97193,-77937
2010-04-01,HSBC,CitiBank New York,11625,93818,-82193
2010-05-01,HSBC,CitiBank New York,18239,99236,-80997
2010-06-01,HSBC,CitiBank New York,11853,96429,-84576
2010-07-01,HSBC,CitiBank New York,11294,98921,-87627
2010-08-01,HSBC,CitiBank New York,18366,91523,-73157
2010-09-01,HSBC,CitiBank New York,11677,92377,-80700
2010-10-01,HSBC,CitiBank New York,18954,96912,-77958
2010-11-01,HSBC,CitiBank New York,29926,92429,-62503
2010-12-01,HSBC,CitiBank New York,23319,96858,-73539
2011-01-01,HSBC,CitiBank New York,24398,97955,-73557
2011-02-01,HSBC,CitiBank New York,24876,96394,-71518
2011-03-01,HSBC,CitiBank New York,22635,99299,-76664
2011-04-01,HSBC,CitiBank New York,25661,95483,-69822
2011-05-01,HSBC,CitiBank New York,22778,94591,-71813
2011-06-01,HSBC,CitiBank New York,25915,92631,-66716
2011-07-01,HSBC,CitiBank New York,22561,92991,-70430
2011-08-01,HSBC,CitiBank New York,21819,96534,-74715
2011-09-01,HSBC,CitiBank New York,34636,86767,-52131
2011-10-01,HSBC,CitiBank New York,31912,83523,-51611
2011-11-01,HSBC,CitiBank New York,35434,84546,-49112
2011-12-01,HSBC,CitiBank New York,33184,83231,-50047
2012-01-01,HSBC,CitiBank New York,32418,86994,-54576
2012-02-01,HSBC,CitiBank New York,33886,89565,-55679
2012-03-01,HSBC,CitiBank New York,34426,82275,-47849
2012-04-01,HSBC,CitiBank New York,36489,84317,-47828
2012-05-01,HSBC,CitiBank New York,36889,87597,-50708
2012-06-01,HSBC,CitiBank New York,31967,86825,-54858
2012-07-01,HSBC,CitiBank New York,43996,83995,-39999
2012-08-01,HSBC,CitiBank New York,45445,87976,-42531
2012-09-01,HSBC,CitiBank New York,48923,89163,-40240
2012-10-01,HSBC,CitiBank New York,49545,86879,-37334
2012-11-01,HSBC,CitiBank New York,47351,85633,-38282
2012-12-01,HSBC,CitiBank New York,45512,84621,-39109
2013-01-01,HSBC,CitiBank New York,48775,88263,-39488
2013-02-01,HSBC,CitiBank New York,46422,83172,-36750
2013-03-01,HSBC,CitiBank New York,46848,85632,-38784
2013-04-01,HSBC,CitiBank New York,42663,84112,-41449
2013-05-01,HSBC,CitiBank New York,55276,72837,-17561
2013-06-01,HSBC,CitiBank New York,57892,71536,-13644
2013-07-01,HSBC,CitiBank New York,56637,72474,-15837
2013-08-01,HSBC,CitiBank New York,58394,77918,-19524
2013-09-01,HSBC,CitiBank New York,57781,77738,-19957
2013-10-01,HSBC,CitiBank New York,56526,73592,-17066
2013-11-01,HSBC,CitiBank New York,52817,78437,-25620
2013-12-01,HSBC,CitiBank New York,55967,73491,-17524
2014-01-01,HSBC,CitiBank New York,53381,75913,-22532
2014-02-01,HSBC,CitiBank New York,51563,77333,-25770
2014-03-01,HSBC,CitiBank New York,61587,71928,-10341
2014-04-01,HSBC,CitiBank New York,69921,76515,-6594
2014-05-01,HSBC,CitiBank New York,67261,77768,-10507
2014-06-01,HSBC,CitiBank New York,62146,71418,-9272
2014-07-01,HSBC,CitiBank New York,64638,75734,-11096
2014-08-01,HSBC,CitiBank New York,65966,74958,-8992
2014-09-01,HSBC,CitiBank New York,63158,75629,-12471
2014-10-01,HSBC,CitiBank New York,64726,78199,-13473
2014-11-01,HSBC,CitiBank New York,67733,72175,-4442
2014-12-01,HSBC,CitiBank New York,65269,78713,-13444
2015-01-01,HSBC,CitiBank New York,73277,67817,5460
2015-02-01,HSBC,CitiBank New York,73358,67876,5482
2015-03-01,HSBC,CitiBank New York,71974,66231,5743
2015-04-01,HSBC,CitiBank New York,76538,65581,10957
2015-05-01,HSBC,CitiBank New York,72115,66715,5400
2015-06-01,HSBC,CitiBank New York,76499,61335,15164
2015-07-01,HSBC,CitiBank New York,78729,64738,13991
2015-08-01,HSBC,CitiBank New York,78283,67843,10440
2015-09-01,HSBC,CitiBank New York,71257,69125,2132
2015-10-01,HSBC,CitiBank New York,71987,63396,8591
2015-11-01,HSBC,CitiBank New York,85586,63267,22319
2015-12-01,HSBC,CitiBank New York,82811,62713,20098
2016-01-01,HSBC,CitiBank New York,86912,67271,19641
2016-02-01,HSBC,CitiBank New York,83581,63217,20364
2016-03-01,HSBC,CitiBank New York,84173,66127,18046
2016-04-01,HSBC,CitiBank New York,88424,66261,22163
2016-05-01,HSBC,CitiBank New York,85435,65888,19547
2016-06-01,HSBC,CitiBank New York,84598,68293,16305
2016-07-01,HSBC,CitiBank New York,84921,66663,18258
2016-08-01,HSBC,CitiBank New York,84231,68872,15359
2016-09-01,HSBC,CitiBank New York,94739,57981,36758
2016-10-01,HSBC,CitiBank New York,93786,57927,35859
2016-11-01,HSBC,CitiBank New York,98196,59245,38951
2016-12-01,HSBC,CitiBank New York,92714,58817,33897
2017-01-01,HSBC,CitiBank New York,99915,52764,47151
2017-02-01,HSBC,CitiBank New York,92295,52193,40102
2017-03-01,HSBC,CitiBank New York,96415,52851,43564
2017-04-01,HSBC,CitiBank New York,94298,55544,38754
2017-05-01,HSBC,CitiBank New York,91991,56451,35540
2017-06-01,HSBC,CitiBank New York,91832,56791,35041
2017-07-01,HSBC,CitiBank New York,104155,52376,51779
2017-08-01,HSBC,CitiBank New York,109137,59564,49573
2017-09-01,HSBC,CitiBank New York,106628,56841,49787
2017-10-01,HSBC,CitiBank New York,108471,54916,53555
2017-11-01,HSBC,CitiBank New York,104624,59365,45259
2017-12-01,HSBC,CitiBank New York,105651,51985,53666
2018-01-01,HSBC,CitiBank New York,101962,53541,48421
2018-02-01,HSBC,CitiBank New York,101266,55265,46001
2018-03-01,HSBC,CitiBank New York,108548,56259,52289
2018-04-01,HSBC,CitiBank New York,103818,54176,49642
2010-01-01,HSBC,CitiBank London,17639,94556,-76917
2010-02-01,HSBC,CitiBank London,11366,93171,-81805
2010-03-01,HSBC,CitiBank London,18431,98115,-79684
2010-04-01,HSBC,CitiBank London,14611,92315,-77704
2010-05-01,HSBC,CitiBank London,15647,93371,-77724
2010-06-01,HSBC,CitiBank London,17869,91215,-73346
2010-07-01,HSBC,CitiBank London,15314,95933,-80619
2010-08-01,HSBC,CitiBank London,16426,93162,-76736
2010-09-01,HSBC,CitiBank London,16967,91719,-74752
2010-10-01,HSBC,CitiBank London,16676,91718,-75042
2010-11-01,HSBC,CitiBank London,26627,99878,-73251
2010-12-01,HSBC,CitiBank London,28613,93547,-64934
2011-01-01,HSBC,CitiBank London,24641,96959,-72318
2011-02-01,HSBC,CitiBank London,21191,99669,-78478
2011-03-01,HSBC,CitiBank London,25397,94416,-69019
2011-04-01,HSBC,CitiBank London,23915,97496,-73581
2011-05-01,HSBC,CitiBank London,29659,96578,-66919
2011-06-01,HSBC,CitiBank London,26827,98844,-72017
2011-07-01,HSBC,CitiBank London,21942,98871,-76929
2011-08-01,HSBC,CitiBank London,22269,91424,-69155
2011-09-01,HSBC,CitiBank London,32682,89381,-56699
2011-10-01,HSBC,CitiBank London,33635,88196,-54561
2011-11-01,HSBC,CitiBank London,35761,86371,-50610
2011-12-01,HSBC,CitiBank London,37294,88947,-51653
2012-01-01,HSBC,CitiBank London,31686,88846,-57160
2012-02-01,HSBC,CitiBank London,33636,87745,-54109
2012-03-01,HSBC,CitiBank London,32956,88348,-55392
2012-04-01,HSBC,CitiBank London,38536,81726,-43190
2012-05-01,HSBC,CitiBank London,35653,88832,-53179
2012-06-01,HSBC,CitiBank London,32778,84529,-51751
2012-07-01,HSBC,CitiBank London,47439,86495,-39056
2012-08-01,HSBC,CitiBank London,45978,87314,-41336
2012-09-01,HSBC,CitiBank London,44183,88422,-44239
2012-10-01,HSBC,CitiBank London,44613,88919,-44306
2012-11-01,HSBC,CitiBank London,45444,81317,-35873
2012-12-01,HSBC,CitiBank London,42533,88914,-46381
2013-01-01,HSBC,CitiBank London,45717,83256,-37539
2013-02-01,HSBC,CitiBank London,45119,82732,-37613
2013-03-01,HSBC,CitiBank London,45327,84527,-39200
2013-04-01,HSBC,CitiBank London,47215,84797,-37582
2013-05-01,HSBC,CitiBank London,55368,73344,-17976
2013-06-01,HSBC,CitiBank London,51395,76645,-25250
2013-07-01,HSBC,CitiBank London,55953,79161,-23208
2013-08-01,HSBC,CitiBank London,52246,79838,-27592
2013-09-01,HSBC,CitiBank London,59693,75333,-15640
2013-10-01,HSBC,CitiBank London,55649,75454,-19805
2013-11-01,HSBC,CitiBank London,52788,71225,-18437
2013-12-01,HSBC,CitiBank London,57242,76984,-19742
2014-01-01,HSBC,CitiBank London,59385,71143,-11758
2014-02-01,HSBC,CitiBank London,55425,77641,-22216
2014-03-01,HSBC,CitiBank London,68432,79795,-11363
2014-04-01,HSBC,CitiBank London,66629,73776,-7147
2014-05-01,HSBC,CitiBank London,63142,78222,-15080
2014-06-01,HSBC,CitiBank London,68342,72149,-3807
2014-07-01,HSBC,CitiBank London,63387,77348,-13961
2014-08-01,HSBC,CitiBank London,66783,79292,-12509
2014-09-01,HSBC,CitiBank London,67118,75272,-8154
2014-10-01,HSBC,CitiBank London,64273,75536,-11263
2014-11-01,HSBC,CitiBank London,68628,71246,-2618
2014-12-01,HSBC,CitiBank London,61122,77737,-16615
2015-01-01,HSBC,CitiBank London,78777,64511,14266
2015-02-01,HSBC,CitiBank London,73662,64495,9167
2015-03-01,HSBC,CitiBank London,75481,66116,9365
2015-04-01,HSBC,CitiBank London,71938,63125,8813
2015-05-01,HSBC,CitiBank London,73873,65996,7877
2015-06-01,HSBC,CitiBank London,78159,68566,9593
2015-07-01,HSBC,CitiBank London,72964,61746,11218
2015-08-01,HSBC,CitiBank London,73369,67596,5773
2015-09-01,HSBC,CitiBank London,77338,67686,9652
2015-10-01,HSBC,CitiBank London,75282,67325,7957
2015-11-01,HSBC,CitiBank London,84314,62862,21452
2015-12-01,HSBC,CitiBank London,82113,67757,14356
2016-01-01,HSBC,CitiBank London,87974,66725,21249
2016-02-01,HSBC,CitiBank London,89823,63321,26502
2016-03-01,HSBC,CitiBank London,89198,66519,22679
2016-04-01,HSBC,CitiBank London,82353,67825,14528
2016-05-01,HSBC,CitiBank London,83877,64249,19628
2016-06-01,HSBC,CitiBank London,85658,65492,20166
2016-07-01,HSBC,CitiBank London,85235,65388,19847
2016-08-01,HSBC,CitiBank London,84734,65647,19087
2016-09-01,HSBC,CitiBank London,98184,54232,43952
2016-10-01,HSBC,CitiBank London,91426,56635,34791
2016-11-01,HSBC,CitiBank London,95954,52752,43202
2016-12-01,HSBC,CitiBank London,98514,59546,38968
2017-01-01,HSBC,CitiBank London,97722,55628,42094
2017-02-01,HSBC,CitiBank London,96894,53137,43757
2017-03-01,HSBC,CitiBank London,91196,52529,38667
2017-04-01,HSBC,CitiBank London,98927,58677,40250
2017-05-01,HSBC,CitiBank London,96344,57869,38475
2017-06-01,HSBC,CitiBank London,99467,57295,42172
2017-07-01,HSBC,CitiBank London,101579,56996,44583
2017-08-01,HSBC,CitiBank London,107917,53458,54459
2017-09-01,HSBC,CitiBank London,105358,51153,54205
2017-10-01,HSBC,CitiBank London,102321,55814,46507
